period_folder,file_name,file_path,file_size_bytes,sheet_name,max_row,max_column,status,error
2018_02,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71474_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71474_html_fallback.xlsx,7413,raw_table_flat,10,7,ok,
2018_02,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71474_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71474_html_fallback.xlsx,7413,metadata,8,2,ok,
2018_02,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71475_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71475_html_fallback.xlsx,12707,raw_table_preserved,33,14,ok,
2018_02,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71475_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71475_html_fallback.xlsx,12707,raw_table_flat,34,14,ok,
2018_02,information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71475_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\information_on_relative_indicators_of_banking_system_the_central_bank_of_the_republic_of_uzbekistan_71475_html_fallback.xlsx,12707,metadata,8,2,ok,
2018_02,liquidity_dynamics_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71469_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\liquidity_dynamics_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71469_html_fallback.xlsx,6828,raw_table_preserved,7,3,ok,
2018_02,liquidity_dynamics_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71469_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\liquidity_dynamics_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71469_html_fallback.xlsx,6828,raw_table_flat,8,3,ok,
2018_02,liquidity_dynamics_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71469_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\liquidity_dynamics_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71469_html_fallback.xlsx,6828,metadata,8,2,ok,
2018_02,profitability_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71471_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\profitability_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71471_html_fallback.xlsx,7641,raw_table_preserved,21,3,ok,
2018_02,profitability_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71471_html_fallback.xlsx,C:\Users\skadyrbekov\OneDrive - KPMG\Desktop\UZ_FS_Tracker_git\data\raw\cbu_bankstats\2018_02\profitability_indicators_of_banking_sector_the_central_bank_of_the_republic_of_uzbekistan_71471_html_fallback.xlsx,7641,raw_table_flat,22,3,ok,
